id,title,current_topics,rule_relevance,rule_crime_types,rule_confidence,manual_relevance,manual_crime_types,notes
b7740bd790c66b7aba81128ddd601b66b1b9ee6752d2da0b957d501b8fd04847,Police arrest driver after fleeing scene of intimate partner violence in East Ferris,crime,core_street_crime,violent_crime|criminal_justice,0.85,,,
f9ce660b0960f19d36bf1098ec72535defdf49c4349b815f003750fa2774cf12,"NBPS seizes lethal fentanyl doses, cocaine, and weapons",crime|local_news,core_street_crime,drug_crime,0.90,,,
30a57393b6aa8bd9a1553768274dfdff6d237cede5905ca4abce045c6d963882,"$3,500 in booze stolen from Huntsville liquor store",crime|local_news,core_street_crime,property_crime,0.85,,,
f802c01227593c31fa0d666aa9022a3a7eca4441c4503b42a1440200a3ca38b1,"Durham police make 64 arrests, lay 155 charges in retail theft crackdown",,core_street_crime,property_crime|criminal_justice,0.85,,,
28bc0c68cf41ae13a8da9b4fb7530573ea99e88f91b54ceda68fee5876d94da7,"Police charge Toronto man with arson, victim in life-threatening condition",,core_street_crime,property_crime,0.80,,,
e4cabac7f1aba71471a82c7b41619ee3a2d1ed1e78e89a273dda126ab45b7e57,Toronto man accused of sex assault at massage clinic faces second charge,,core_street_crime,violent_crime,0.90,,,
2bd3c0055a6f43b51333788530bbe6ca3c105a19f9944102b049c50b3e37f4e9,Hours-long police standoff in southern Ontario leads to arrest of 39-year-old man,,core_street_crime,criminal_justice,0.80,,,
74fb5db090cd314ee8744847a06f128bda6e8ecfc671b0e082f9b19eba14bc50,Toronto police investigating after second incident of mezuzahs stolen,,core_street_crime,property_crime,0.80,,,
50ec8f1f38e65ff79fea4631a63b43931a40535af7d18b827160e3b31aed6fd3,Niagara area Child Sexual Exploitation Investigation leads to arrest of North Bay man,automotive|technology|criminal_justice|local_news,core_street_crime,violent_crime|criminal_justice,0.90,,,
76128ba971ca599c05543623c34ec0074ac41da8827344f7991c9d4b2cd5e90c,Police arrest 79-year-old after standoff in Larder Lake Township,automotive|criminal_justice|local_news,core_street_crime,criminal_justice,0.00,,,
3feddd3da63903acb90eea895f82fcbe43724611433ea4add6dbde4d766fe7aa,Mother charged after baby allegedly abandoned at Toronto church,local_news,core_street_crime,violent_crime|criminal_justice,0.85,,,
6e9550738086ebb98662f1cc163195d8eb829b025abfa7d5095eaa70d522991d,"Mother charged with murder after 10-year-old child found dead in Barrie, Ont.: police",violent_crime|real_estate,core_street_crime,violent_crime|criminal_justice,0.95,,,
6d7c3fa41f2f0082a72b4f6779e1b4faa7b303d1c15fb7a60d3414befa9bcf1a,"Ont. senior accused of triple shooting murder-suicide, ex-partner seriously injured",violent_crime,core_street_crime,violent_crime,0.95,,,
b77792b5643ac1457353f7ee60bc92ea8b9ca26c870234b3c9700f1dc97a670c,Federal and state officials both claim moral high ground in immigration crackdown after shooting,violent_crime|real_estate|health|criminal_justice|local_news,core_street_crime,violent_crime,0.90,,,
6b75f24337470b53df7968fc1c1ed70b2f8698e96c01211a0a7914ee2c63404e,More charges laid in North Bay December shooting,violent_crime|drug_crime|automotive|criminal_justice|local_news,core_street_crime,violent_crime,0.90,,,
3ac216b7ca19f09ff0708f1e6c6a228580ce89cac702a4b51bffe315b68422b0,SIU investigates after man found dead near collision site beneath the snow in Ottawa,,core_street_crime,violent_crime,0.80,,,
6cb6c2c53667e258f36b5b1447459280a4ddd03e6680dc1858fb29c7e9995481,"Provincial police investigate after man, woman found dead in Manawan, Que.",,core_street_crime,violent_crime,0.80,,,
42b622f89a6f5d287c2be1a5d514b7e74958e4da19af8669a648dec56fb94a46,Impaired driver charged after pickup truck crashes on Highway 11 in Powassan,automotive|criminal_justice,core_street_crime,violent_crime,0.80,,,
e0e7ea48bc87fb4450c4f9de470abc8918f4c2b0103e72947de1000e19d4c60c,"One dead, one injured in overnight shooting in London, Ont.",violent_crime,core_street_crime,violent_crime,0.90,,,
33c7104a4f4b3dfa2c02a137dcb4577c6dd3e40dc6f4400baf9986a1bc1252d3,Police use tracking system to locate stolen truck from North Bay,property_crime|real_estate|automotive|criminal_justice|local_news,core_street_crime,property_crime,0.80,,,
344efd7693ca91e629d534a20d738507c98e70a1d97fcecdb3a57c58eb489c87,Local man facing attempted murder charge against woman,violent_crime|criminal_justice|local_news,core_street_crime,violent_crime,0.95,,,
a2a21ff3f93f864e8a83395b1c378eaf11ddbeb400fe041f2004fee2a1b4c5fe,Man escapes Toronto jail by impersonating another inmate set for release: police,,core_street_crime,other_crime|criminal_justice,0.85,,,
6d857928f76243cc43a0244ea3a95bb306596c0d33aac3a7cea60add0b13e620,Man charged in elderly woman's death evaded police for months before alleged murder,violent_crime|criminal_justice,core_street_crime,violent_crime|criminal_justice,0.95,,,
c25f38956c8610cc0983b18b22925288f368531580cd6794d33c2a3883d0e436,Store security guard attacked by woman swinging shopping bag: Sault Police,,core_street_crime,violent_crime,0.80,,,
